SelectionSort Algorithm, Random Uniform Data, N = 1000, T[ns] = 4397000
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 114430600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 93128600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 139291200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 3726700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 126626700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 93521300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 127723900
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 727500
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 349100
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 576100
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 471700
SelectionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 36393500
SelectionSort Algorithm, Ascending Data, N = 3500, T[ns] = 39451700
SelectionSort Algorithm, Descending Data, N = 3500, T[ns] = 34239400
SelectionSort Algorithm, Constant Data, N = 3500, T[ns] = 33183100
InsertionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 40193500
InsertionSort Algorithm, Ascending Data, N = 3500, T[ns] = 34500
InsertionSort Algorithm, Descending Data, N = 3500, T[ns] = 78987200
InsertionSort Algorithm, Constant Data, N = 3500, T[ns] = 36400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 3500, T[ns] = 5076700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 117360000
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 109904200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 111342100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 4277100
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 114114000
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 85119100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 102321300
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 644900
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 360900
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 287400
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 441900
SelectionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 33702800
SelectionSort Algorithm, Ascending Data, N = 3500, T[ns] = 34619000
SelectionSort Algorithm, Descending Data, N = 3500, T[ns] = 34445300
SelectionSort Algorithm, Constant Data, N = 3500, T[ns] = 35529800
InsertionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 37397600
InsertionSort Algorithm, Ascending Data, N = 3500, T[ns] = 22600
InsertionSort Algorithm, Descending Data, N = 3500, T[ns] = 75009000
InsertionSort Algorithm, Constant Data, N = 3500, T[ns] = 34700
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 3500, T[ns] = 3334600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 107679600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 83525700
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 108228700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 3557000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 110337900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 82880500
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 113274700
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 725000
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 402100
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 287200
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 416800
SelectionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 35717600
SelectionSort Algorithm, Ascending Data, N = 3500, T[ns] = 38897600
SelectionSort Algorithm, Descending Data, N = 3500, T[ns] = 56288000
SelectionSort Algorithm, Constant Data, N = 3500, T[ns] = 33083100
InsertionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 36685800
InsertionSort Algorithm, Ascending Data, N = 3500, T[ns] = 23100
InsertionSort Algorithm, Descending Data, N = 3500, T[ns] = 73124600
InsertionSort Algorithm, Constant Data, N = 3500, T[ns] = 35100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 3500, T[ns] = 3657700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 103163700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 59537900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 89152600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 4188800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 107902900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 81651100
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 108832100
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 700100
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 341300
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 557200
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 484100
SelectionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 36286900
SelectionSort Algorithm, Ascending Data, N = 3500, T[ns] = 35108400
SelectionSort Algorithm, Descending Data, N = 3500, T[ns] = 33340600
SelectionSort Algorithm, Constant Data, N = 3500, T[ns] = 32672800
InsertionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 35694100
InsertionSort Algorithm, Ascending Data, N = 3500, T[ns] = 22600
InsertionSort Algorithm, Descending Data, N = 3500, T[ns] = 71680900
InsertionSort Algorithm, Constant Data, N = 3500, T[ns] = 61100
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 3500, T[ns] = 3294300
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 100891700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 63090500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 100573100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 3346700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 87501700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 80436000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 81195500
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 624500
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 510200
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 294000
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 421500
SelectionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 33875900
SelectionSort Algorithm, Ascending Data, N = 3500, T[ns] = 31742800
SelectionSort Algorithm, Descending Data, N = 3500, T[ns] = 32573200
SelectionSort Algorithm, Constant Data, N = 3500, T[ns] = 32202700
InsertionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 35505400
InsertionSort Algorithm, Ascending Data, N = 3500, T[ns] = 32900
InsertionSort Algorithm, Descending Data, N = 3500, T[ns] = 72188000
InsertionSort Algorithm, Constant Data, N = 3500, T[ns] = 55200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 3500, T[ns] = 3389900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 82274700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 61877600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 91380100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 3586700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 106018600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 77215900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 86635500
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 627100
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 369200
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 473100
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 420900
SelectionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 32829800
SelectionSort Algorithm, Ascending Data, N = 3500, T[ns] = 33061800
SelectionSort Algorithm, Descending Data, N = 3500, T[ns] = 33518500
SelectionSort Algorithm, Constant Data, N = 3500, T[ns] = 32740600
InsertionSort Algorithm, Random Uniform Data, N = 3500, T[ns] = 36622300
InsertionSort Algorithm, Ascending Data, N = 3500, T[ns] = 23200
InsertionSort Algorithm, Descending Data, N = 3500, T[ns] = 72685900
InsertionSort Algorithm, Constant Data, N = 3500, T[ns] = 43800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 3500, T[ns] = 3226400
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 3500, T[ns] = 102208900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 3500, T[ns] = 70890300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 3500, T[ns] = 106126500
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 3500, T[ns] = 3369800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 3500, T[ns] = 88565200
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 3500, T[ns] = 99737700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 3500, T[ns] = 81866900
std::sort Algorithm, Random Uniform Data, N = 3500, T[ns] = 665800
std::sort Algorithm, Ascending Data, N = 3500, T[ns] = 357000
std::sort Algorithm, Descending Data, N = 3500, T[ns] = 290500
std::sort Algorithm, Constant Data, N = 3500, T[ns] = 421400
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 41937600
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 43901100
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 44246200
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 43383000
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 46533300
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 34700
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 96226900
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 26200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4297600
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 132585800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 85712700
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 113236700
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4319400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 118592300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 106018200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 131713300
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 749900
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 383700
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 328000
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 493700
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 42481100
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 42151200
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 42575700
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 42584700
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 49105900
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 55600
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 93591500
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 45300
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4240100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 111449600
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 84854900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 131402000
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 5157000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 108237700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 76388900
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 115257300
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 747200
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 615300
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 349200
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 485000
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 43268200
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 41458600
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 43652400
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 41879300
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 46694500
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 40800
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 92987100
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 40200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4236100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 132674500
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 78230500
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 111074500
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4217400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 115464300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 99967300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 110682000
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 836800
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 434600
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 336400
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 688600
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 41971500
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 41686900
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 43550600
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 42013800
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 56994600
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 25700
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 92960400
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 36200
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4243700
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 111417100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 79137900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 111016400
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4158400
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 109909900
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 82895300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 132097600
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 731000
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 383800
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 327900
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 569600
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 42432000
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 42666500
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 42906400
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 42659900
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 45433300
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 43200
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 93510400
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 25800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 5360100
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 109941700
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 77597300
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 109143900
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4266900
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 131351500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 78610200
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 109134300
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 726000
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 403200
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 330900
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 479800
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 42553300
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 41994700
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 43319500
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 42020900
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 46489700
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 26100
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 94287000
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 61900
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 6502900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 117100100
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 100116000
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 107005200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4778700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 108383700
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 75281000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 117335600
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 782400
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 641800
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 357400
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 477500
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 43103000
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 42172700
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 43453900
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 42607000
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 46698300
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 36900
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 92944700
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 26800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4234200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 106936400
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 75544200
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 109657100
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 6073000
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 107848400
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 74038000
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 106166900
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 733700
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 413300
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 367400
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 523500
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 42518900
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 41895600
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 43328900
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 41985500
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 47752900
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 26100
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 93358600
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 26600
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4222200
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 106320900
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 74739600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 106483800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4301800
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 114860500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 115607700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 140973400
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 752700
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 414800
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 375100
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 526200
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 43632100
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 46016200
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 44229000
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 43714100
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 49972700
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 53800
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 96551100
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 54400
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4253800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 135470200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 79535600
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 110632800
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 4163700
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 109052500
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 79627300
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 110339400
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 719200
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 403200
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 326200
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 483000
SelectionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 43444900
SelectionSort Algorithm, Ascending Data, N = 4000, T[ns] = 43588500
SelectionSort Algorithm, Descending Data, N = 4000, T[ns] = 43861400
SelectionSort Algorithm, Constant Data, N = 4000, T[ns] = 42546600
InsertionSort Algorithm, Random Uniform Data, N = 4000, T[ns] = 49992700
InsertionSort Algorithm, Ascending Data, N = 4000, T[ns] = 112500
InsertionSort Algorithm, Descending Data, N = 4000, T[ns] = 97038500
InsertionSort Algorithm, Constant Data, N = 4000, T[ns] = 29800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4000, T[ns] = 4390800
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4000, T[ns] = 109668200
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4000, T[ns] = 78321800
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4000, T[ns] = 110119600
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4000, T[ns] = 5491500
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4000, T[ns] = 112371300
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4000, T[ns] = 77127600
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4000, T[ns] = 110470900
std::sort Algorithm, Random Uniform Data, N = 4000, T[ns] = 776200
std::sort Algorithm, Ascending Data, N = 4000, T[ns] = 409000
std::sort Algorithm, Descending Data, N = 4000, T[ns] = 385700
std::sort Algorithm, Constant Data, N = 4000, T[ns] = 761500
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 54476900
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 55627800
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 54727900
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 55778200
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 59708800
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 141400
InsertionSort Algorithm, Descending Data, N = 4500, T[ns] = 120384900
InsertionSort Algorithm, Constant Data, N = 4500, T[ns] = 29800
QuickSort Algorithm (Rightmost element as Pivot), Random Uniform Data, N = 4500, T[ns] = 5711900
QuickSort Algorithm (Rightmost element as Pivot), Ascending Data, N = 4500, T[ns] = 150077800
QuickSort Algorithm (Rightmost element as Pivot), Descending Data, N = 4500, T[ns] = 135800900
QuickSort Algorithm (Rightmost element as Pivot), Constant Data, N = 4500, T[ns] = 167475200
QuickSort Algorithm (Median of three as Pivot), Random Data, N = 4500, T[ns] = 6784600
QuickSort Algorithm (Median of three as Pivot), Ascending Data, N = 4500, T[ns] = 174989600
QuickSort Algorithm (Median of three as Pivot), Descending Data, N = 4500, T[ns] = 150694700
QuickSort Algorithm (Median of three as Pivot), Constant Data, N = 4500, T[ns] = 170484300
std::sort Algorithm, Random Uniform Data, N = 4500, T[ns] = 880100
std::sort Algorithm, Ascending Data, N = 4500, T[ns] = 413500
std::sort Algorithm, Descending Data, N = 4500, T[ns] = 409700
std::sort Algorithm, Constant Data, N = 4500, T[ns] = 611300
SelectionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 55832300
SelectionSort Algorithm, Ascending Data, N = 4500, T[ns] = 55295700
SelectionSort Algorithm, Descending Data, N = 4500, T[ns] = 55579300
SelectionSort Algorithm, Constant Data, N = 4500, T[ns] = 55382400
InsertionSort Algorithm, Random Uniform Data, N = 4500, T[ns] = 59831700
InsertionSort Algorithm, Ascending Data, N = 4500, T[ns] = 44500
